Date,Close,High,Low,Open,Volume
1/2/2020,3257.850098,3258.139893,3235.530029,3244.669922,3459930000
1/3/2020,3234.850098,3246.149902,3222.340088,3226.360107,3484700000
1/6/2020,3246.280029,3246.840088,3214.639893,3217.550049,3702460000
1/7/2020,3237.179932,3244.909912,3232.429932,3241.860107,3435910000
1/8/2020,3253.050049,3267.070068,3236.669922,3238.590088,3726840000
1/9/2020,3274.699951,3275.580078,3263.669922,3266.030029,3641230000
1/10/2020,3265.350098,3282.98999,3260.860107,3281.810059,3214580000
1/13/2020,3288.129883,3288.129883,3268.429932,3271.129883,3459390000
1/14/2020,3283.149902,3294.25,3277.189941,3285.350098,3687620000
1/15/2020,3289.290039,3298.659912,3280.689941,3282.27002,3721490000
1/16/2020,3316.810059,3317.110107,3302.820068,3302.969971,3540580000
1/17/2020,3329.620117,3329.879883,3318.860107,3323.659912,3726220000
1/21/2020,3320.790039,3329.790039,3316.610107,3321.030029,4104840000
1/22/2020,3321.75,3337.77002,3320.040039,3330.02002,3623780000
1/23/2020,3325.540039,3326.879883,3301.870117,3315.77002,3766710000
1/24/2020,3295.469971,3333.179932,3281.530029,3333.100098,3708780000
1/27/2020,3243.629883,3258.850098,3234.5,3247.159912,3831050000
1/28/2020,3276.23999,3285.780029,3253.219971,3255.350098,3531570000
1/29/2020,3273.399902,3293.469971,3271.889893,3289.459961,3600250000
1/30/2020,3283.659912,3285.909912,3242.800049,3256.449951,3790350000
1/31/2020,3225.52002,3282.330078,3214.679932,3282.330078,4529700000
2/3/2020,3248.919922,3268.439941,3235.659912,3235.659912,3760460000
2/4/2020,3297.590088,3306.919922,3280.610107,3280.610107,3996900000
2/5/2020,3334.689941,3337.580078,3313.75,3324.909912,4121480000
2/6/2020,3345.780029,3347.959961,3334.389893,3344.919922,3887250000
2/7/2020,3327.709961,3341.419922,3322.120117,3335.540039,3733920000
2/10/2020,3352.090088,3352.26001,3317.77002,3318.280029,3462730000
2/11/2020,3357.75,3375.629883,3352.719971,3365.870117,3762940000
2/12/2020,3379.449951,3381.469971,3369.719971,3370.5,3930910000
2/13/2020,3373.939941,3385.090088,3360.52002,3365.899902,3500890000
2/14/2020,3380.159912,3380.689941,3366.149902,3378.080078,3419700000
2/18/2020,3370.290039,3375.01001,3355.610107,3369.040039,3750400000
2/19/2020,3386.149902,3393.52002,3378.830078,3380.389893,3614200000
2/20/2020,3373.22998,3389.149902,3341.02002,3380.449951,4019180000
2/21/2020,3337.75,3360.76001,3328.449951,3360.5,3908780000
2/24/2020,3225.889893,3259.810059,3214.649902,3257.610107,4851160000
2/25/2020,3128.209961,3246.98999,3118.77002,3238.939941,5596760000
2/26/2020,3116.389893,3182.51001,3108.98999,3139.899902,5484650000
2/27/2020,2978.76001,3097.070068,2977.389893,3062.540039,7064710000
2/28/2020,2954.219971,2959.719971,2855.840088,2916.899902,8569570000
3/2/2020,3090.22998,3090.959961,2945.189941,2974.280029,6381330000
3/3/2020,3003.370117,3136.719971,2976.629883,3096.459961,6376510000
3/4/2020,3130.120117,3130.969971,3034.379883,3045.75,5073020000
3/5/2020,3023.939941,3083.040039,2999.830078,3075.699951,5579290000
3/6/2020,2972.370117,2985.929932,2901.540039,2954.199951,6555240000
3/9/2020,2746.560059,2863.889893,2734.429932,2863.889893,8441290000
3/10/2020,2882.22998,2882.590088,2734,2813.47998,7642040000
3/11/2020,2741.379883,2825.600098,2707.219971,2825.600098,7431200000
3/12/2020,2480.639893,2660.949951,2478.860107,2630.860107,8850810000
3/13/2020,2711.02002,2711.330078,2492.370117,2569.98999,8299070000
3/16/2020,2386.129883,2562.97998,2380.939941,2508.590088,7805450000
3/17/2020,2529.189941,2553.929932,2367.040039,2425.659912,8370250000
3/18/2020,2398.100098,2453.570068,2280.52002,2436.5,8799300000
3/19/2020,2409.389893,2466.969971,2319.780029,2393.47998,7956100000
3/20/2020,2304.919922,2453.01001,2295.560059,2431.939941,9053950000
3/23/2020,2237.399902,2300.72998,2191.860107,2290.709961,7411380000
3/24/2020,2447.330078,2449.709961,2344.439941,2344.439941,7563150000
3/25/2020,2475.560059,2571.419922,2407.530029,2457.77002,8300010000
3/26/2020,2630.070068,2637.01001,2500.719971,2501.290039,7766990000
3/27/2020,2541.469971,2615.909912,2520.02002,2555.870117,6201670000
3/30/2020,2626.649902,2631.800049,2545.280029,2558.97998,5751120000
3/31/2020,2584.590088,2641.389893,2571.149902,2614.689941,6576210000
4/1/2020,2470.5,2522.75,2447.48999,2498.080078,5964000000
4/2/2020,2526.899902,2533.219971,2455.790039,2458.540039,6464190000
4/3/2020,2488.649902,2538.179932,2459.959961,2514.919922,6096970000
4/6/2020,2663.679932,2676.850098,2574.570068,2578.280029,6403840000
4/7/2020,2659.409912,2756.889893,2657.669922,2738.649902,7050410000
4/8/2020,2749.97998,2760.75,2663.300049,2685,5875710000
4/9/2020,2789.820068,2818.570068,2762.360107,2776.98999,7899550000
4/13/2020,2761.629883,2782.459961,2721.169922,2782.459961,5319530000
4/14/2020,2846.060059,2851.850098,2805.100098,2805.100098,5615730000
4/15/2020,2783.360107,2801.879883,2761.540039,2795.639893,5208000000
4/16/2020,2799.550049,2806.51001,2764.320068,2799.340088,5228810000
4/17/2020,2874.560059,2879.219971,2830.879883,2842.429932,5804810000
4/20/2020,2823.159912,2868.97998,2820.429932,2845.620117,5228630000
4/21/2020,2736.560059,2785.540039,2727.100098,2784.810059,5121010000
4/22/2020,2799.310059,2815.100098,2775.949951,2787.889893,5084920000
4/23/2020,2797.800049,2844.899902,2794.26001,2810.419922,5773530000
4/24/2020,2836.73999,2842.709961,2791.76001,2812.639893,5382810000
